word,translation,description
استعمال,Use,
خوبصورت,Beautiful,
سیکورٹی,security,
معلومات,Information,
مہربانی,thank you,
ناورسکی,Grandfather,
پروگرام,Program,
کمپیوٹر,Computer,
اتارنا,Unload,
اعتماد,Confidence,
انتظار,to wait,
انتظام,Arrangement,
اہمیت,Significance,
برقرار,Balance,
تبدیلی,Shift,
تحفظات,Reservations,
ترقیاتی,Developmental,
جرمانہ,a fine,
خیالات,Wounds,
دستاویزات,Documents,
روزمرہ,Daily,
زبانیں,Languages,
سفارشات,Recommendations,
شناختی,Identity,
ضروریات,Requirements,
عملدرآمد,Process,
فوجداری,Rule,
قانونی,legal,
لازمی,compulsory,
مشاورت,Consultation,
نافذالعمل,Impact,
واضح طور,Understoodly,
ہدایات,Instructions,
یقین دہانی,Assurance,
آزمائشی,Probation,
بے نظیر,Awesome,
تجزیاتی,Analytical,
جمہوریت,Democracy,
حکمرانی,leadership,
خودمختار,Autonomous,
دہشتگردی,Terrorism,
ریاستہائے,State,
زیرعمل,Dominance,
سازگار,Housing,
شفافیت,Transparency,
ضمنی,Side,
عدالتی,Judicial,
فراہمی,Supply,
قرارداد,Resolution,
لوازمات,Accessories,
معیاری,Standard,
نمایاں,Apparent,
وابستگی,Related,
ہم آہنگی,harmony,
یکسانیت,Side,
آئندہ,next time,
بصیرت,Information,
تصدیقی,Verification,
جامعیت,Grade,
حیثیت,Prestige,
خودارادیت,Autonomy,
دیگرسازی,Other,
رواداری,Tolerance,
زیربحث,under discussion,
سہولیات,Facilities,
شمولیت,participation,
ضابطہ,Rule,
عہدنامہ,Condemnation,
فرائض,Duties,
قبولیت,Acceptance,
لائحہ عمل,Strategy,
محدودیت,Restriction,
نسبتاً,Relatively,
وظیفہ,Gift,
ہمترین,We,
یومیہ,Daily,
آرائشی,Decorative,
بے سروسامانی,Helpless,
توثیقی,Verification,
جانکاری,Information,
حقیقت پسندی,Realism,
خودانحصاری,self-reliance,
دستیابی,Availability,
رہنمائی,Guidance,
زمینداری,Landland,
سلامتی,Hello,
شراکتدار,partner,
ضمانتی,Bailach,
عفونت,Disagreement,
فہمیدہ,Assured,
قدردانی,Appreciation,
لائق,Base,
محکمہ,Department,
ناقابل,Incredible,
ورثاء,Heritage,
ہنرمند,skilled,
یادداشت,Memory,
آفتاب,Sun,
بے غرض,Helpless,
توجہی,Careful,
جاہلیت,Ignorance,
حیرانی,Surprise,
خوشبو,Fragrance,
دریافت,Quest,
روشنی,Light,
زمرد,Eternal,
سنجیدگی,Sedation,
شناخت,identity,
ضیافت,Entertainment,
عمرانی,Age,
فصیل,Wall,
قدیمی,Ancient,
لفظی,Literal,
مرکبات,Compounds,
نظریاتی,Ideological,
وسیلہ,Source,
ہوشیاری,Alarm,
یکجہتی,Unity,
آمدنی,Income,
بے خوف,Fearless,
توقعات,Expectations,
جبریل,Gabriel,
حوصلہ,Excitement,
خوابگاہ,Bedroom,
دوستانہ,Friendly,
ریاضی,Mathematics,
زندگی,Life,
سازشی,Conspiracy,
شہرت,Reputation,
ضرورتمند,Required,
عالمگیر,Global,
فرصت,Leisure,
قابلیت,Abilities,
لگن,urge,
مستقل,Constant,
نووارد,Newcomer,
وقتی,ad hoc,
ہمنوا,Equal,
یقیناً,Indeed,
آزادانہ,Free,
بے ربط,Necklace,
تیزابیت,Acidity,
جاذبہ,Objective,
حقیقی,Real,
خیالی,Fantastic,
درخواست,Application,
رضامندی,Willingness,
زہریلا,poisonous,
سنگینی,Seriousness,
شکایت,Complaint,
ضیا,Subdued,
عظمت,Might,
فرمانروائی,Banned,
قدرتی,Natural,
لاپرواہ,Careless,
مطلق,Absolute,
ناخواندہ,Illiterate,
واجبات,Payments,
ہنری,Henry,
یکسو,Altitude,
آزمایش,Trial,
بے سود,Useless,
تیزرفتار,High speed,
جانباز,Mercenary,
حکایت,Lead,
خوشحالی,Prosperity,
دعوتنامہ,Invitation,
رموز,Ritual,
زیراعظم,Leader,
سرگرمی,Activity,
شہادت,Evidence,
ضیاء,Zia,
علمبردار,Organization,
فروغ,Promotion,
قاعدہ,Rule,
لہجہ,Tone,
مفتی,Mufti,
نادان,simpleton,
والدین,Parents,
ہوبہو,Hubo,
یکطرفہ,Over,
آغاز,Start,
بے ضرر,Harmless,
تینتالیس,Thirty -three,
جالب,Temperate,
حیاتیات,Biology,
خوشآمد,flattery,
درازقد,Practice,
رنجیدہ,Upset,
زیبائش,Embroidery,
سستی,Laziness,
شہریار,Dominance,
ضیافتی,Waste,
عنایت,Rewarding,
فریاد,Complaint,
قانونسازی,Legislation,
لہریں,Waves,
مفروضہ,Assumption,
ناخدا,Nails,
واپسین,Commerce,
